# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.2
#@/tick	916
#@/user_id	iMac-Home
a 	啊	c=13 d=5.83761 t=916
he ji 	合計	c=0 d=0.1 t=775
hen cheng shu 	很成熟	c=1 d=0.202909 t=916
hen duo 	很多	c=2 d=0.753198 t=916
hen shao 	很少	c=0 d=0.0337902 t=916
hen shao de 	很少的	c=1 d=0.339596 t=916
hen zheng chang 	很正常	c=0 d=0.0410656 t=916
hou 	後	c=1 d=0.591555 t=916
hou lai 	後來	c=1 d=1 t=701
hou xuan 	候選	c=1 d=0.650509 t=916
hou xuan zi 	候選字	c=1 d=0.66365 t=916
hu dun 	護盾	c=1 d=0.479505 t=916
hu kou 	戶口	c=1 d=0.524663 t=916
huan cun 	緩存	c=1 d=0.32628 t=916
hui 	會	c=1 d=0.226502 t=916
hui bu qu 	回不去	c=1 d=0.367879 t=916
hui che 	回車	c=1 d=1.09048 t=639
hui chu xian 	會出現	c=1 d=1 t=664
hui fu 	恢復	c=1 d=0.250324 t=916
hui jia 	回家	c=1 d=0.600496 t=916
hui lai 	回來	c=1 d=0.474339 t=916
hui lao jia 	回老家	c=1 d=0.501576 t=916
hui qu 	回去	c=1 d=0.36911 t=916
hun shu 	混輸	c=7 d=1.84921 t=795
hun xiao 	混淆	c=1 d=0.856415 t=916
huo 	活	c=1 d=0.451581 t=916
huo yue 	活躍	c=0 d=0.1 t=582
huo zhe 	或者	c=1 d=0.301194 t=916
icloud 	iCloud	c=1 d=0.718924 t=916
ji chang 	機場	c=1 d=0.740818 t=916
ji dian 	幾點	c=1 d=1 t=792
ji er 	雞兒	c=1 d=0.489331 t=916
ji xiao 	極小	c=1 d=0.442639 t=916
ji zhe 	記着	c=0 d=0.0245367 t=916
ji zhe 	記者	c=0 d=0.0244143 t=916
jia 	加	c=1 d=0.970446 t=916
jia ban 	加班	c=1 d=1 t=808
jia le 	加了	c=1 d=0.16081 t=591
jia le ci ku 	加了詞庫	c=1 d=1 t=592
jia mi fang shi 	加密方式	c=1 d=0.852144 t=916
jia qian 	價錢	c=1 d=0.386741 t=916
jiang 	將	c=1 d=1 t=883
jiang di 	降低	c=0 d=0.0690734 t=916
jiang lai 	將來	c=1 d=0.960789 t=916
jiao 	叫	c=3 d=2.65787 t=916
jiao nang 	膠囊	c=0 d=0.0318224 t=916
jiao xiao 	較小	c=1 d=0.843665 t=916
jie xi 	解析	c=1 d=0.367879 t=916
jie zou 	節奏	c=0 d=0.0392586 t=916
jin cheng 	進程	c=0 d=0.0398519 t=916
jin nian 	今年	c=1 d=0.380983 t=916
jin ru 	進入	c=1 d=0.249075 t=916
jin wan shang 	今晚上	c=1 d=0.0566989 t=916
jing 	靜	c=0 d=0.1 t=748
jiu 	就	c=1 d=0.270882 t=916
jiu hao 	就好	c=1 d=1 t=684
jiu na dian 	就那點	c=1 d=0.621885 t=916
jiu shi 	就是	c=4 d=1.50096 t=916
jiu shi yin wei 	就是因爲	c=1 d=0.348192 t=916
jiu te me 	就特麼	c=1 d=1 t=810
jiu wan shi 	就萬事	c=1 d=0.256661 t=916
jiu xing 	就行	c=3 d=0.871822 t=916
jiu xing le 	就行了	c=1 d=0.701173 t=916
jiu zai 	就在	c=0 d=0.0367879 t=916
jiu zai bei jing 	就在北京	c=1 d=0.369723 t=916
jiu zhi jie 	就直接	c=1 d=0.194952 t=916
ka fei 	咖啡	c=1 d=0.353243 t=916
ka fei jiao nang 	咖啡膠囊	c=1 d=0.319819 t=916
kai 	開	c=1 d=0.582748 t=916
kai fa 	開發	c=2 d=0.367909 t=916
kai gan 	開幹	c=1 d=0.26982 t=916
kai shi 	開始	c=1 d=0.346456 t=916
kan 	看	c=1 d=0.588605 t=916
kan kan 	看看	c=1 d=0.545367 t=916
kao 	考	c=1 d=0.418952 t=916
kao 	靠	c=1 d=0.579842 t=916
ke 	可	c=1 d=0.585669 t=916
ke xie 	可寫	c=1 d=0.687289 t=916
ke xie 	溘謝	c=1 d=0.683861 t=916
ke yi 	可以	c=2 d=1.63548 t=916
ke yi geng gai 	可以更該	c=1 d=1 t=790
kong ge 	空個	c=1 d=1 t=905
kong ge 	空格	c=1 d=1 t=906
kuai 	快	c=1 d=0.472367 t=916
kuai jie jian 	快捷鍵	c=1 d=1 t=629
kubec 	kubectl	c=1 d=1 t=907
kuo zhan 	擴展	c=1 d=1 t=893
lai 	來	c=2 d=1 t=916
lan 	懶	c=1 d=0.557106 t=916
lan gan 	欄杆	c=0 d=0.0486752 t=916
lao de 	老的	c=1 d=0.316637 t=916
lao tie 	老鐵	c=1 d=0.499074 t=916
le 	了	c=19 d=4.72289 t=916
le ba 	了吧	c=1 d=1 t=590
le bu shao 	了不少	c=1 d=1 t=672
le ne 	了呢	c=2 d=0.634448 t=916
lian jie 	鏈接	c=0 d=0.071177 t=916
liang ge 	兩個	c=1 d=0.786851 t=916
liang hao 	良好	c=0 d=0.1 t=26
liang nian 	兩年	c=0 d=0.0594521 t=916
liao jie yi xia 	瞭解一下	c=1 d=0.343009 t=916
ling dao 	領導	c=0 d=0.040657 t=916
ling yi ge 	另一個	c=1 d=0.839457 t=916
liu bai xun 	劉柏勳	c=1 d=0.308819 t=916
liu hai 	劉海	c=0 d=0.1 t=748
liu hai jing 	劉海靜	c=1 d=1 t=749
liu liang 	流量	c=1 d=0.468339 t=916
liu liang xiang dui 	流量相對	c=1 d=0.839457 t=916
lu 	擼	c=2 d=0.697676 t=916
luan ma 	亂碼	c=1 d=1 t=741
luan yong 	卵用	c=1 d=1 t=704
luo hu 	落戶	c=0 d=0.0537944 t=916
mai 	買	c=2 d=1.03009 t=916
mai bu liao 	買不了	c=1 d=0.442639 t=916
mai de 	買的	c=0 d=0.0321422 t=916
mai fang 	買房	c=1 d=0.486752 t=916
mai wan le 	買完了	c=1 d=0.327915 t=916
man zu 	滿足	c=1 d=1 t=726
me 	麼	c=5 d=2.67795 t=916
mei 	沒	c=0 d=0.120145 t=916
mei da yin 	沒打印	c=1 d=0.287941 t=916
mei fen 	沒分	c=1 d=0.767206 t=916
mei ge 	每個	c=1 d=0.305746 t=916
mei hao 	美好	c=0 d=0.0208045 t=916
mei hao hao 	沒好好	c=1 d=0.210136 t=916
mei hao hao 	美好好	c=1 d=0.209088 t=916
mei le 	沒了	c=0 d=0.1 t=27
mei na me 	沒那麼	c=1 d=0.766977 t=689
mei na me duo 	沒那麼多	c=1 d=1 t=690
mei sha 	沒啥	c=1 d=0.680451 t=916
mei shang xian 	沒上線	c=1 d=0.941765 t=916
mei shen me 	沒什麼	c=1 d=1 t=703
mei tian you 	梅田悠	c=1 d=0.323033 t=916
mei xing qu 	沒興趣	c=0 d=0.0559898 t=916
mei yong guo 	沒用過	c=1 d=0.603506 t=916
mei you 	沒有	c=3 d=1.11523 t=916
min gan 	敏感	c=0 d=0.1 t=678
min gan zi fu 	敏感字符	c=1 d=1 t=679
ming bai 	明白	c=1 d=1 t=825
ming bai le 	明白了	c=0 d=0.1 t=878
ming cheng 	名稱	c=3 d=2.75654 t=788
ming ling 	命令	c=1 d=0.255381 t=916
ming nian 	明年	c=2 d=1.13655 t=916
ming zi 	名字	c=4 d=1.90701 t=916
mo kuai 	模塊	c=2 d=1.66242 t=916
mo ni 	模擬	c=1 d=0.394554 t=916
mo ren 	默認	c=1 d=1 t=743
mo shi 	模式	c=1 d=0.251579 t=916
mo xing 	模型	c=1 d=0.402524 t=916
mu 	木	c=0 d=0.1 t=768
mu qian 	目前	c=1 d=1.06079 t=25
mu qian shu ru fa 	目前輸入法	c=1 d=1 t=26
na 	那	c=0 d=0.0458406 t=916
na bian 	那邊	c=0 d=0.1 t=799
na dian 	那點	c=0 d=0.0618783 t=916
na ge 	那個	c=3 d=0.858041 t=916
na hai shi suan le 	那還是算了	c=1 d=0.460704 t=916
na jiu 	那就	c=0 d=0.0442639 t=916
na jiu qu 	那就去	c=1 d=0.444858 t=916
na me duo 	那麼多	c=1 d=0.280832 t=916
na te me 	那特麼	c=1 d=0.463013 t=916
nan shou 	難受	c=1 d=0.591555 t=916
ne 	呢	c=5 d=2.47163 t=916
nei 	內	c=1 d=0.307279 t=916
nei cun 	內存	c=2 d=0.777345 t=916
neng 	能	c=1 d=0.273898 t=916
ni 	你	c=0 d=0.34089 t=916
ni ba biao da shi 	你把表達式	c=1 d=0.882497 t=916
ni bie che dan 	你別扯淡	c=1 d=0.380983 t=916
ni bu 	你不	c=0 d=0.1 t=776
ni bu chi 	你不吃	c=1 d=1 t=777
ni de 	你的	c=1 d=0.449329 t=916
ni gang cai 	你剛纔	c=1 d=1 t=874
ni gei wo 	你給我	c=1 d=0.453845 t=916
ni kan 	你看	c=0 d=0.0759572 t=916
ni kan kan 	你看看	c=1 d=0.26054 t=916
ni kan xia 	你看下	c=1 d=0.763379 t=916
ni ke yi 	你可以	c=1 d=0.335825 t=916
ni ke yi dui bi 	你可以對比	c=1 d=0.332871 t=916
ni lai 	你來	c=0 d=0.0481909 t=916
ni lai dong bei 	你來東北	c=1 d=0.484325 t=916
ni men 	你們	c=1 d=1 t=596
ni na bian 	你那邊	c=1 d=1 t=800
ni neng 	你能	c=0 d=0.0362402 t=916
ni neng hui qu 	你能回去	c=1 d=0.364219 t=916
ni shi shi 	妳試試	c=1 d=0.218712 t=916
ni shu ju liang 	你數據量	c=1 d=0.913931 t=916
ni yao 	你要	c=0 d=0.045612 t=916
ni yao shi 	你要是	c=1 d=0.458406 t=916
ni yong 	你用	c=1 d=0.214381 t=916
ni zhao zhao 	你找找	c=1 d=1 t=799
ni zhe ge you dian 	你這個有點	c=1 d=1 t=587
ni zhe me shuo 	你這麼說	c=1 d=1 t=858
ni zi ji 	你自己	c=0 d=0.0380983 t=916
ni zi ji xuan ze yi ge 	你自己選擇一個	c=1 d=0.382893 t=916
nian nian 	年年	c=1 d=1 t=913
niu bi 	牛比	c=0 d=0.1 t=21
nong 	弄	c=0 d=0.0305746 t=916
nong le 	弄了	c=3 d=2.48727 t=733
nong le da yue 	弄了大約	c=1 d=1 t=732
nong le yi ge 	弄了一個	c=1 d=0.307279 t=916
o 	哦	c=1 d=1 t=857
ou er 	偶爾	c=0 d=0.1 t=676
ou er hui shu ru 	偶爾會輸入	c=1 d=1 t=677
pa chong 	爬蟲	c=1 d=0.690734 t=916
pao 	跑	c=2 d=0.928305 t=916
pei se 	配色	c=1 d=1 t=615
pei zhi 	配置	c=3 d=0.726149 t=916
pen 	噴	c=1 d=0.19593 t=916
pi pi xia 	皮皮蝦	c=1 d=0.683861 t=916
pin lv 	頻率	c=1 d=0.701173 t=916
qi 	起	c=1 d=1.00121 t=916
qi bu 	起步	c=1 d=0.909373 t=916
qi dong 	啓動	c=2 d=0.717425 t=916
qian nan you 	前男友	c=1 d=0.50409 t=916
qiang 	搶	c=1 d=0.416862 t=916
qiao dong 	橋洞	c=1 d=0.373439 t=916
qie huan 	切換	c=2 d=1.32142 t=845
qing kuang 	情況	c=0 d=0.0211189 t=916
qing ni 	請你	c=0 d=0.1 t=754
qing ni chi fan 	請你吃飯	c=1 d=1 t=755
qing wen 	請問	c=1 d=1 t=784
qiong 	窮	c=1 d=0.467666 t=916
qiong kun liao dao 	窮困潦倒	c=1 d=0.647265 t=916
qu 	去	c=2 d=1.18559 t=916
que 	缺	c=1 d=0.227638 t=916
ran hou 	然後	c=3 d=0.671857 t=916
ren zhi dao 	人知道	c=0 d=0.1 t=762
ri chang 	日場	c=1 d=1 t=727
ri zhi 	日誌	c=4 d=1.18363 t=916
ri zhi de 	日誌的	c=1 d=0.67368 t=916
rong qi 	容器	c=0 d=0.081315 t=916
rong yi 	容易	c=0 d=0.00566989 t=916
rong yi zuo e meng 	容易做噩夢	c=1 d=0.0569831 t=916
ru guo 	如果	c=1 d=0.951229 t=916
ru xia 	如下	c=1 d=1 t=19
ruan lian jie 	軟連接	c=2 d=1.71754 t=916
sa huang 	撒謊	c=0 d=0.0327915 t=916
